layer,item,ticker_or_input,source,evidence_type,transformation,start_date,end_date,price_observations,return_observations,status
market_data,brazil_equity,BOVA11.SA,Yahoo Finance through yfinance,real_public_market_price_series,adjusted close prices and daily returns,2014-01-02,2026-06-08,3239,3238,real market proxy
market_data,brazil_external,EWZ,Yahoo Finance through yfinance,real_public_market_price_series,adjusted close prices and daily returns,2014-01-02,2026-06-08,3239,3238,real market proxy
market_data,global_equity,SPY,Yahoo Finance through yfinance,real_public_market_price_series,adjusted close prices and daily returns,2014-01-02,2026-06-08,3239,3238,real market proxy
market_data,fx_usdbrl,BRL=X,Yahoo Finance through yfinance,real_public_market_price_series,adjusted close prices and daily returns,2014-01-02,2026-06-08,3239,3238,real market proxy
market_data,vix,^VIX,Yahoo Finance through yfinance,real_public_market_price_series,adjusted close prices and daily returns,2014-01-02,2026-06-08,3239,3238,real market proxy
derived_metric,realized_volatility,brazil_equity returns,BRAVO Lab calculation,model_derived,rolling standard deviation annualized,derived from available market window,derived from available market window,NA,NA,derived from real market data
derived_metric,drawdown,brazil_equity returns,BRAVO Lab calculation,model_derived,cumulative return versus running maximum,derived from available market window,derived from available market window,NA,NA,derived from real market data
regime_signal,baseline_regime_classifier,volatility percentile and drawdown,BRAVO Lab rule-based classifier,model_generated_signal,"calm, fragile, stress, extreme_stress classification",derived from available market window,derived from available market window,NA,NA,"decision signal, not observed market data"
synthetic_derivatives,covered_call_overlay,BOVA11 proxy plus Black-Scholes premium,BRAVO Lab synthetic option engine,synthetic_research_assumption,monthly synthetic short call overlay,derived from available market window,derived from available market window,NA,NA,not real B3 option-chain evidence
synthetic_derivatives,collar_overlay,BOVA11 proxy plus Black-Scholes premium,BRAVO Lab synthetic option engine,synthetic_research_assumption,monthly synthetic long put and short call overlay,derived from available market window,derived from available market window,NA,NA,not real B3 option-chain evidence
strategy_logic,stress_aware_overlay,baseline regime classifier,BRAVO Lab switching rule,model_generated_strategy_rule,"passive in calm, covered call in fragile, collar in stress",derived from available market window,derived from available market window,NA,NA,research rule requiring validation
